matID,rows,nnzs,mkl_seq,mkl_par,cusparse_v1,cusparse_v2_lvl,cusparse_v2_nolvl,syncfree
1072,1220,3858,0.0303321,0.0328079,0.026752,0.0254848,0.026112,0.0135
1071,1220,3858,0.0298676,0.0324408,0.0270336,0.02688,0.0260096,0.0134
1070,1220,3858,0.0278406,0.0329439,0.02704,0.025584,0.026112,0.0133
1069,1220,3858,0.0316327,0.0339436,0.0265248,0.0251168,0.0262112,0.0145
1068,1220,3858,0.0310908,0.0343609,0.0267648,0.0251776,0.0257984,0.0135
1067,1220,3858,0.0276014,0.0330961,0.0270176,0.0254368,0.0256928,0.0133
1066,1220,3858,0.0291496,0.032982,0.0273728,0.025136,0.0262112,0.0135
1065,1220,3858,0.0313919,0.0364042,0.0270496,0.0253632,0.0263136,0.0135
1064,1220,3854,0.0316418,0.0331543,0.0270464,0.0261888,0.0262144,0.0134
1063,1220,3857,0.0285109,0.0327756,0.0271328,0.0255456,0.0260096,0.0138
1062,1220,3855,0.0320887,0.0328341,0.0271552,0.0269792,0.0260096,0.0134
1061,1220,3832,0.029214,0.0319175,0.027456,0.0256352,0.0265152,0.0133
1060,1220,3840,0.0307593,0.0335575,0.0269792,0.027712,0.0270304,0.0134
1059,1220,3830,0.031497,0.0317524,0.0271008,0.0261376,0.0270336,0.0134
1058,1220,3854,0.0324101,0.0310433,0.0268864,0.0251872,0.0261024,0.0136
