m,nnzs,lvls,max_rl_cnt,max_cl_cnt,min_cl_cnt,min_rl_cnt,max_nnz_pl_rw,max_nnz_pl_cw,max_rl,max_cl,mean_rl,max_rpl,median_rpl,median_rl,median_cl,mean_nnz_pl_rw,std_rpl,std_nnz_pl_rw,std_rl,std_cl,mean_rpl,mean_max_cl_pl,mean_mean_cl_pl,mean_std_cl_pl,mean_max_rl_pl,mean_std_rl_pl,mean_mean_rl_pl,mean_min_rl_pl,mean_median_rl_pl,mkl_seq,mkl_par,cusparse_v1,cusparse_v2_lvl,cusparse_v2_nolvl,syncfree,winner,CPU winner,GPU winner,2nd,3rd,4th,5th,6th
1484,3976,6,1,5,184,408,1628,1672,13,5,2.679245,636,193.5,2,3,662.666687,222.951172,586.206055,1.880049,0.952129,247.333328,3.333333,2.074605,0.504499,9,1.506004,3.386044,2,3,0.0322617,0.0393834,0.0273696,0.0243808,0.0241632,0.0143,6,1,7,5,4,3,1,2
1500,49560,133,2,1,25,5,948,1018,134,168,33.040001,21,10,29,27,372.631592,4.144665,235.992813,22.350983,27.127914,11.278195,57.902256,34.838688,11.741419,51.127819,8.780542,34.182613,22.759399,32.793232,0.086058,0.118341,0.336454,0.82369,0.708202,0.1602,1,1,7,2,6,3,5,4
1505,4696,13,22,1,472,500,1260,1704,13,28,3.120266,500,55,3,3,361.230774,138.728378,337.573273,2.33836,3.019893,115.769234,15.615385,2.765038,2.193482,10.692307,1.92717,4.055476,2.461539,3.423077,0.0350136,0.0299093,0.0513888,0.037552,0.0429024,0.0198,6,2,7,2,1,4,5,3
1589,4331,20,1,1,629,430,647,1187,20,34,2.725614,430,34,2,2,216.550003,114.760391,206.590302,1.92894,2.75155,79.449997,12.2,2.831701,1.899106,10.85,1.301417,8.085249,6.55,7.95,0.033453,0.0358624,0.0587328,0.0358976,0.032352,0.0293,6,1,7,5,1,2,4,3
1601,16950,146,210,7,3,1,163,158,19,29,10.587133,15,13,11,9,116.095894,4.014382,47.45731,4.2809,4.096745,10.965754,17.821918,10.601671,3.608845,16.719177,3.728528,10.082861,4.630137,10.229452,0.0479228,0.0632777,0.276646,0.300387,0.231219,0.1752,1,1,7,2,6,5,3,4
1633,28088,374,10,72,1,2,170,151,50,32,17.200245,10,4,15,16,75.101601,2.241333,40.083206,10.482234,5.892251,4.36631,22.628342,17.319824,3.856239,29.050802,7.520189,17.666437,9.229946,16.240643,0.060895,0.0796053,0.637491,0.543856,0.382054,0.4144,1,1,6,2,5,6,4,3
1650,4122,465,824,113,228,2,365,363,3,5,2.498182,146,2,2,2,8.864516,12.813062,32.033733,0.502415,0.968127,3.548387,3.034409,2.50929,0.511712,2.995699,0.498925,2.496774,1.997849,2.496774,0.0291486,0.0336564,0.575683,0.385466,0.447997,0.4126,1,1,4,2,4,6,5,3
1651,25592,317,87,87,3,1,145,136,32,32,15.500909,10,5,14,13,80.731865,1.80628,26.78105,7.527971,7.654595,5.208202,25.08202,15.720791,6.082613,25.003155,6.184286,15.604387,8.839117,14.258675,0.0571775,0.0783847,0.483475,0.523392,0.377446,0.3626,1,1,7,2,6,5,3,4
1668,6209,143,1,1,12,13,78,75,6,7,3.722422,20,12,4,4,43.419579,3.720937,14.484818,0.719913,0.939565,11.664335,4.86014,3.641905,0.84183,4.552447,0.570378,3.719343,2.741259,3.842657,0.0326749,0.0410866,0.212906,0.229866,0.252419,0.1212,1,1,7,2,6,3,4,5
1700,11548,315,1,2,266,191,191,404,18,14,6.792941,191,6,8,8,36.660316,10.802322,22.071074,3.333883,3.61558,5.396825,10.923809,7.660362,2.135338,10.507936,1.803734,7.702472,4.95873,7.750793,0.0419499,0.0431743,0.648528,0.37585,0.22016,0.342,1,1,6,2,5,6,4,3
1733,11961,174,3,265,4,10,146,138,14,10,6.901904,20,10,7,7,68.741379,5.060961,32.259308,2.510144,2.214588,9.95977,9.356322,7.015102,1.846587,9.91954,1.748875,7.363971,4.678161,7.376437,0.0448248,0.054967,0.340403,0.264938,0.200602,0.1769,1,1,7,2,6,5,4,3
1794,4779,300,1490,299,5,299,299,1794,3,6,2.66388,299,5,3,2,15.93,16.945786,16.3729,0.745974,1.492889,5.98,2.01,2.01,0,2.99,0,2.99,2.99,2.99,0.0320083,0.0455351,0.38895,0.323709,0.193027,0.2508,1,1,6,2,5,6,4,3
1806,32630,392,2,35,44,44,164,161,35,30,18.067553,44,5,19,19,83.239799,2.508913,30.819481,6.421766,6.016118,4.607143,23.140306,18.003525,4.018688,23.772959,3.83044,18.531664,13.362245,18.714285,0.0710989,0.0990474,0.571795,0.589898,0.343546,0.4221,1,1,6,2,5,6,3,4
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0368717,0.0461101,0.0687808,0.0549856,0.0508896,0.0198,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0392001,0.0446677,0.0682432,0.0558976,0.0518112,0.0197,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0391075,0.047945,0.06792,0.055744,0.0517056,0.0196,6,1,7,1,2,5,4,3
