MKL(seq) Ana,MKL(par) Ana,cuSPARSE(v1) iluAna,cuSPARSE(v2)iluAna,Sync-Free ilu Ana,MKL(seq) ilu,MKL(par) ilu,cuSPARSE(v1) ilu,cuSPARSE(v2)iu,Sync-Free ilu,cuSPARSE(v1) ana,cusparse(v2)ana,Sync-Free ana,MKL(seq) 10 iter,MKL(par) 10 iter,cuSPARSE(v1)  10 iter,cuSPARSE(v2)lvl,cuSPARSE(v2)nolvl  10 iter,Sync-Free  10 iter,FE_ilu,m,FE_oh_wo,Emp_oh_wo,FE_oh_w,Emp_oh_w,SycnFree_LU
1.16498,1.04244,0,0.213024,0,1.10096,1.22424,0.247808,0.098304,0,3.11053,0.098304,0.0061,0.323804,0.369139,0.659424,0.559264,0.64,0.323,0.000364576,1107,0.006728768,0.008326763,0.007093344,0.011211099,0.042
1.10774,1.08966,0,0.192512,0,0.998111,1.06442,0.236544,0.069632,0,2.35101,0.069632,0.0062,0.282046,0.337339,0.498912,0.423488,0.388128,0.249,0.0003256,1138,0.005771264,0.006813175,0.006096864,0.009374394,0.035
1.15092,0.999465,0,0.192512,0,1.14876,1.42226,0.524288,0.111616,0,2.716,0.111616,0.0061,0.326343,0.340047,0.525344,0.465024,0.405472,0.291,0.000362496,1157,0.005629664,0.007384346,0.00599216,0.010783782,0.034
1.16583,1.10173,0,0.345088,0,1.23036,1.35822,1.26771,0.411648,0,3.94246,0.411648,0.0061,0.34565,0.366338,1.88288,1.92854,1.70083,1.15,0.000795648,1159,0.027447743,0.013884831,0.028243391,0.018497857,0.057
1.14063,1.0994,0,0.22016,0,0.882157,0.992509,0.186368,0.116736,0,2.59219,0.116736,0.0079,0.319283,0.316231,0.741792,0.768832,0.408608,0.449,0.000398336,1182,0.010946688,0.007988132,0.011345024,0.010386062,0.017
1.18376,1.09247,0,0.220128,0,0.871966,1.01004,0.185344,0.114688,0,2.61818,0.114688,0.0082,0.318415,0.323588,0.741088,0.767776,0.414752,0.449,0.00038912,1182,0.011053152,0.007995717,0.011442272,0.010397883,0.016
1.19102,1.22027,0,0.34,0,2.72678,2.8691,5.48762,0.493536,0,7.69293,0.493536,0.0061,0.46391,0.566792,2.58362,2.86208,1.78579,1.69,0.00088576,1182,0.034958142,0.020420988,0.035843902,0.032338024,0.188
1.49717,1.03994,0,0.342016,0,2.65574,2.72605,5.50707,0.526336,0,7.91619,0.526336,0.0061,0.428792,0.54069,2.29299,2.76755,1.78787,1.696,0.000917504,1182,0.034704032,0.020373808,0.035621536,0.03213102,0.194
1.11528,0.942207,0,0.345088,0,2.57561,2.7057,5.48352,0.493568,0,7.67366,0.493568,0.0082,0.440187,0.595405,2.59843,2.85578,1.79302,1.703,0.000883712,1182,0.034598143,0.02069836,0.035481855,0.032301846,0.188
1.21608,1.18767,0,0.338944,0,2.63315,2.86324,5.50912,0.525312,0,7.92525,0.525312,0.0061,0.430875,0.578867,2.28659,2.7632,1.80227,1.696,0.000917504,1182,0.035066687,0.020071951,0.035984191,0.031941717,0.193
1.15187,1.09694,0,0.345088,0,2.6879,2.70262,5.48045,0.492576,0,7.67654,0.492576,0.006,0.456148,0.578644,2.58893,2.86909,1.78995,1.691,0.000888832,1182,0.034935871,0.020552628,0.035824703,0.032261262,0.187
1.12864,1.06149,0,0.156672,0,1.28651,1.74442,0.304128,0.120832,0,2.85178,0.120832,0.0063,0.320912,0.336319,0.335072,0.27424,0.290784,0.147,0.00032768,1220,0.002402848,0.006932049,0.002730528,0.010544611,0.037
1.31468,1.0738,0,0.156672,0,1.18254,1.19649,0.303104,0.121856,0,2.86563,0.121856,0.0083,0.316737,0.359364,0.337664,0.280736,0.286752,0.156,0.000333824,1220,0.002397344,0.006923169,0.002731168,0.009883831,0.036
1.01098,0.861985,0,0.159712,0,1.02224,1.0307,0.148448,0.082944,0,2.72957,0.082944,0.0062,0.275693,0.327867,0.268192,0.256032,0.26112,0.133,0.00029696,1220,0.002156864,0.006729098,0.002453824,0.009173142,0.032
1.14311,0.900898,0,0.160768,0,1.05718,1.16559,0.150528,0.082944,0,2.7417,0.082944,0.0065,0.285973,0.316715,0.270048,0.252096,0.260128,0.139,0.000293888,1220,0.002178272,0.006228069,0.00247216,0.008845079,0.032
1.07878,1.12182,0,0.16176,0,1.05295,1.21654,0.149504,0.082912,0,2.74026,0.082912,0.0061,0.298469,0.336098,0.270848,0.251648,0.260064,0.134,0.000301056,1220,0.002183328,0.006424407,0.002484384,0.009088073,0.031
1.33452,0.924214,0,0.159744,0,1.09341,1.06132,0.149536,0.084992,0,2.7487,0.084992,0.0061,0.297408,0.349135,0.267488,0.251744,0.26,0.134,0.000290816,1220,0.002122784,0.006600167,0.0024136,0.009149169,0.032
1.26955,0.944565,0,0.161824,0,1.10982,1.21783,0.14848,0.082944,0,2.71322,0.082944,0.0061,0.292293,0.321378,0.267264,0.254656,0.25904,0.132,0.000299008,1220,0.002173632,0.006587629,0.00247264,0.009308527,0.031
1.27471,1.3835,0,0.159744,0,1.08084,1.09193,0.150528,0.083968,0,2.74518,0.083968,0.0062,0.293389,0.337908,0.27232,0.248512,0.258048,0.133,0.000279552,1220,0.002143488,0.00659264,0.00242304,0.00915965,0.031
1.129,1.07707,0,0.160768,0,1.09929,1.14835,0.149536,0.083968,0,2.72611,0.083968,0.0064,0.285447,0.311901,0.268608,0.253376,0.2632,0.134,0.000289792,1220,0.002105856,0.00699122,0.002395648,0.009633132,0.031
